COUNTRY,Country Code,2014EPI,2015EPI,2016EPI,2017EPI,2018EPI,2019EPI,2020EPI,2021EPI,2022EPI
Argentina,ARG,49.552,65.515,79.84,69.6945,59.3,55.73,52.16,45.03289003,41.088
Austria,AUT,78.326,83.0705,86.64,83.12525,78.97,79.285,79.6,69.42908521,66.492
Belgium,BEL,66.612,74.40325,80.155,79.32075,77.382,75.331,73.28,63.13145624,58.176
Bolivia,BOL,50.482,60.53675,71.085,63.378,55.982,50.111,44.24,39.78495768,40.132
Brazil,BRA,52.966,66.326,78.905,69.6725,60.702,55.951,51.2,44.70080697,43.632
Bulgaria,BGR,64.01,74.556,83.4,75.608,67.848,62.434,57.02,50.79419394,51.924
Canada,CAN,73.134,79.6225,85.055,79.16725,72.178,71.619,71.06,61.31370008,49.946
Chile,CHL,69.932,73.835,77.67,67.47775,57.488,56.364,55.24,48.36891037,46.708
Colombia,COL,50.776,63.67425,75.93,70.5035,65.218,59.089,52.96,45.36304705,42.368
Costa Rica,CRI,58.53,69.72775,80.03,73.74375,67.854,60.187,52.52,46.57230095,46.338
Czech Republic,CZE,81.462,83.641,84.67,76.411,67.682,69.371,71.06,61.82467532,59.854
Denmark,DNK,76.916,83.6685,89.205,85.839,81.598,82.059,82.52,74.81350824,77.958
Dominican Republic,DOM,53.238,64.76125,75.32,69.84175,64.71,55.535,46.36,41.66959765,42.226
Ecuador,ECU,58.548,62.233,66.58,61.67925,57.418,54.199,50.98,45.57203444,46.46
El Salvador,SLV,43.786,56.376,68.065,60.94825,53.91,48.505,43.1,39.01276504,40.796
Finland,FIN,75.716,83.859,90.68,85.1945,78.638,78.769,78.9,72.76216245,76.488
France,FRA,71.046,80.597,88.205,86.47925,83.95,81.965,79.98,68.5912097,62.47
Germany,DEU,80.47,82.86275,84.265,81.72825,78.372,77.776,77.18,66.84328416,62.392
Greece,GRC,73.276,80.129,85.815,80.27,73.6,71.34,69.08,59.64608256,56.242
Guatemala,GTM,48.064,59.2625,69.635,60.98525,52.33,42.075,31.82,28.02522251,27.946
Haiti,HTI,19.012,31.5615,43.28,38.6545,33.744,30.382,27.02,24.8662902,26.12
Honduras,HND,48.874,59.38975,69.64,60.52975,51.504,44.642,37.78,34.49136339,36.478
Hungary,HUN,70.278,78.351,84.595,74.631,65.008,64.324,63.64,55.80172924,55.098
Ireland,IRL,74.67,81.08775,86.605,82.95325,78.772,75.806,72.84,64.04961503,57.354
Italy,ITA,74.362,79.802,84.485,81.17875,76.964,73.972,70.98,61.61027928,57.72
Mexico,MEX,55.028,64.73525,73.595,66.70875,59.692,56.116,52.54,45.91712212,45.516
Netherlands,NLD,77.754,80.43875,82.03,79.40125,75.454,75.367,75.28,65.94689676,62.57
Nicaragua,NIC,50.318,57.247,64.195,59.508,55.042,47.141,39.24,35.69901829,37.708
Norway,NOR,78.038,82.81475,86.9,82.49775,77.49,77.585,77.68,67.62570884,59.314
Panama,PAN,56.834,67.49975,78,70.12275,62.706,54.993,47.28,44.94818067,50.48
Paraguay,PRY,39.254,55.092,70.36,61.77975,53.93,50.185,46.44,41.18171702,40.956
Peru,PER,45.044,59.17525,72.95,66.934,61.914,52.937,43.96,39.33337902,39.84
Poland,POL,69.53,75.711,81.26,72.49875,64.116,62.528,60.94,52.59385989,50.544
Portugal,PRT,75.8,82.75125,88.625,80.64275,71.906,69.463,67.02,57.71058921,50.44
Romania,ROU,50.516,67.45,83.235,73.85425,64.778,64.709,64.64,57.00901414,56.002
Serbia,SRB,69.132,73.98,78.665,67.997,57.49,56.365,55.24,46.95187005,43.906
Slovakia,SVK,74.444,80.57475,85.42,77.81025,70.596,69.428,68.26,60.16816311,59.976
Spain,ESP,79.786,84.80575,88.905,84.02525,78.394,76.357,74.32,63.28849082,56.64
Sweden,SWE,78.088,84.789,90.43,85.70525,80.508,79.614,78.72,71.62719953,72.724
Switzerland,CHE,87.678,87.65225,86.935,87.5915,87.42,84.46,81.5,70.8465694,65.954
Turkey,TUR,54.908,61.48725,67.68,60.50175,52.966,47.813,42.66,35.4904841,26.256
Ukraine,UKR,49.006,65.23875,79.685,66.45775,52.872,51.206,49.54,45.67538868,49.666
United Kingdom,GBR,77.352,82.931,87.385,83.98675,79.89,80.575,81.26,73.83319175,77.716
United States,USA,67.522,76.68725,84.72,78.41625,71.188,70.244,69.3,59.14862748,51.084
Uruguay,URY,53.61,64.235,73.98,69.07625,64.65,56.875,49.1,43.44024795,37.436
Venezuela,VEN,57.806,67.39225,76.225,70.302,63.89,57.115,50.34,45.17337032,46.418
