COUNTRY,Country Code,2014EPI,2015EPI,2016EPI,2017EPI,2018EPI,2019EPI,2020EPI,2021EPI,2022EPI
Algeria,DZA,50.074,60.74175,70.285,64.4355,57.184,50.972,44.76,36.2661619,29.614
Angola,AGO,28.69,40.09325,51.32,44.03675,37.444,33.572,29.7,28.2666426,30.438
Benin,BEN,32.42,38.07175,43.66,40.78325,38.166,34.063,29.96,28.15925,29.6
Botswana,BWA,47.604,59.681,70.72,60.522,51.698,46.029,40.36,44.35290964,54.026
Cameroon,CMR,36.688,47.0785,57.125,49.03325,40.812,37.196,33.58,31.37732287,30.172
Egypt,EGY,61.112,63.95325,66.45,63.96325,61.212,52.276,43.34,37.48065783,35.484
Ethiopia,ETH,39.428,42.894,45.825,45.2475,44.782,39.611,34.44,31.30619388,31.774
Ghana,GHA,32.072,46.04525,58.89,54.27675,49.658,38.629,27.6,25.96965292,27.718
Israel,ISR,65.786,73.0145,78.14,77.30575,75.006,70.423,65.84,56.47839146,48.174
Jordan,JOR,55.78,64.671,72.24,68.018,62.198,57.789,53.38,45.97364612,43.63
Kenya,KEN,36.99,49.99475,62.495,54.89125,47.256,40.948,34.64,31.04446978,30.792
Kuwait,KWT,63.946,64.73025,64.41,63.658,62.282,57.961,53.64,45.73532757,42.356
Morocco,MAR,51.89,63.51025,74.185,68.985,63.464,52.882,42.3,34.10798104,28.354
Mozambique,MOZ,29.972,36.48825,41.82,44.62175,46.366,40.143,33.92,30.8380459,31.684
Nigeria,NGA,39.198,48.7825,58.27,56.023,54.76,42.88,31,28.92781306,28.274
Oman,OMN,47.744,54.56,60.13,55.9865,51.32,44.9,38.48,33.01947919,30.686
Qatar,QAT,63.028,67.731,69.945,69.29425,67.796,52.448,37.1,34.3438,33
Saudi Arabia,SAU,66.654,68.3395,68.625,63.51825,57.474,50.717,43.96,38.48816283,37.938
Senegal,SEN,40.832,52.6165,63.73,56.7105,49.518,40.119,30.72,30.26834423,33.912
South Africa,ZAF,53.516,61.95325,70.52,56.988,44.73,43.885,43.04,38.04658014,37.142
Sudan,SDN,24.636,33.56125,42.25,46.4445,51.494,43.137,34.78,30.14156155,27.548
Tanzania,TZA,36.19,47.807,58.34,54.89475,50.826,40.943,31.06,30.13159734,34.238
Togo,TGO,27.906,37.36475,46.1,43.95175,41.784,35.632,29.48,29.96467141,33.974
Tunisia,TUN,58.99,68.869,77.28,70.40425,62.346,54.513,46.68,40.88726836,40.728
United Arab Emirates,ARE,72.916,71.674,69.355,64.39975,58.904,57.262,55.62,50.10819649,52.368
Zambia,ZMB,41.718,53.98475,66.06,58.035,50.974,42.857,34.74,34.45889268,38.412
