COUNTRY,Country Code,2014EPI,2015EPI,2016EPI,2017EPI,2018EPI,2019EPI,2020EPI,2021EPI,2022EPI
Australia,AUS,82.394,84.94275,87.22,81.0875,74.118,74.519,74.92,65.57638143,60.09
Azerbaijan,AZE,55.47,69.8285,83.78,72.52275,62.332,54.416,46.5,40.62708804,38.62
Bangladesh,BGD,25.608,33.96,41.77,35.00125,29.558,29.309,29.06,24.75764891,23.112
Belarus,BLR,67.692,75.29975,82.305,73.5815,64.984,59.002,53.02,47.39204529,48.536
Cambodia,KHM,35.44,43.263,51.235,46.71175,43.23,38.395,33.56,29.79521439,30.124
China,CHN,43.006,54.326,65.1,57.412,50.74,44.05,37.36,31.01683521,28.402
India,IND,31.228,42.76525,53.58,41.47,30.572,29.106,27.64,22.74650337,18.852
Indonesia,IDN,44.356,55.028,65.85,55.773,46.916,42.368,37.82,31.60272855,28.198
Japan,JPN,72.352,77.09775,80.585,78.097,74.684,74.932,75.18,64.4288102,57.188
Kazakhstan,KAZ,51.07,62.4345,73.285,63.66975,54.556,49.628,44.7,40.02281805,40.964
Malaysia,MYS,59.306,67.4525,74.23,66.53475,59.22,53.56,47.9,40.08157846,35.056
Myanmar,MMR,27.44,38.64925,48.98,46.603,45.32,35.2,25.08,21.12322064,19.378
Nepal,NPL,36.998,43.5845,50.21,40.1585,31.444,32.072,32.7,29.14898579,28.328
New Zealand,NZL,76.412,82.195,88,82.32375,75.962,73.641,71.32,62.71041571,56.65
Pakistan,PAK,34.586,43.11225,51.42,43.532,37.5,35.26,33.02,28.67448115,24.578
Philippines,PHL,44.014,59.47925,73.705,65.522,57.65,48.065,38.48,32.19643808,28.854
Russia,RUS,53.448,69.1725,83.52,73.96325,63.786,57.133,50.48,42.69837216,37.558
Singapore,SGP,81.782,85.034,87.045,75.85275,64.232,61.176,58.12,53.0115271,50.92
Sri Lanka,LKA,53.876,60.0015,65.545,62.97075,60.608,49.794,38.98,34.59398138,34.674
Tajikistan,TJK,31.338,53.05175,73.055,59.63425,47.848,43.034,38.22,36.15952097,37.088
Thailand,THA,52.834,61.84475,69.535,59.45175,49.882,47.671,45.46,39.47069885,38.106
Uzbekistan,UZB,43.224,53.725,63.67,54.2345,45.882,45.111,44.34,39.35718136,38.214
Vietnam,VNM,38.168,48.44125,58.5,52.2515,46.964,40.152,33.34,27.18773188,20.14
