COUNTRY,Country Code,2014EPI,2015EPI,2016EPI,2017EPI,2018EPI,2019EPI,2020EPI,2021EPI,2022EPI
Australia,AUS,82.394,84.94275,87.22,81.0875,74.118,74.519,74.92,65.57638143,60.09
Austria,AUT,78.326,83.0705,86.64,83.12525,78.97,79.285,79.6,69.42908521,66.492
Belgium,BEL,66.612,74.40325,80.155,79.32075,77.382,75.331,73.28,63.13145624,58.176
Canada,CAN,73.134,79.6225,85.055,79.16725,72.178,71.619,71.06,61.31370008,49.946
Czech Republic,CZE,81.462,83.641,84.67,76.411,67.682,69.371,71.06,61.82467532,59.854
Denmark,DNK,76.916,83.6685,89.205,85.839,81.598,82.059,82.52,74.81350824,77.958
Finland,FIN,75.716,83.859,90.68,85.1945,78.638,78.769,78.9,72.76216245,76.488
France,FRA,71.046,80.597,88.205,86.47925,83.95,81.965,79.98,68.5912097,62.47
Germany,DEU,80.47,82.86275,84.265,81.72825,78.372,77.776,77.18,66.84328416,62.392
Ireland,IRL,74.67,81.08775,86.605,82.95325,78.772,75.806,72.84,64.04961503,57.354
Israel,ISR,65.786,73.0145,78.14,77.30575,75.006,70.423,65.84,56.47839146,48.174
Italy,ITA,74.362,79.802,84.485,81.17875,76.964,73.972,70.98,61.61027928,57.72
Japan,JPN,72.352,77.09775,80.585,78.097,74.684,74.932,75.18,64.4288102,57.188
Netherlands,NLD,77.754,80.43875,82.03,79.40125,75.454,75.367,75.28,65.94689676,62.57
New Zealand,NZL,76.412,82.195,88,82.32375,75.962,73.641,71.32,62.71041571,56.65
Norway,NOR,78.038,82.81475,86.9,82.49775,77.49,77.585,77.68,67.62570884,59.314
Singapore,SGP,81.782,85.034,87.045,75.85275,64.232,61.176,58.12,53.0115271,50.92
Slovakia,SVK,74.444,80.57475,85.42,77.81025,70.596,69.428,68.26,60.16816311,59.976
Spain,ESP,79.786,84.80575,88.905,84.02525,78.394,76.357,74.32,63.28849082,56.64
Sweden,SWE,78.088,84.789,90.43,85.70525,80.508,79.614,78.72,71.62719953,72.724
Switzerland,CHE,87.678,87.65225,86.935,87.5915,87.42,84.46,81.5,70.8465694,65.954
United Kingdom,GBR,77.352,82.931,87.385,83.98675,79.89,80.575,81.26,73.83319175,77.716
United States,USA,67.522,76.68725,84.72,78.41625,71.188,70.244,69.3,59.14862748,51.084
