Country,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,ARG,62.1,61.3,64,63.3,65.7,65,62.7,64.2,64.8
Austria,AUT,79.8,80.1,79.6,78,78.9,78.6,79.4,81.3,78.1
Belgium,BEL,77.8,76.8,76.8,77.5,77.1,76.8,75.2,76.1,77.5
Bolivia,BOL,57.5,62.1,61,61.4,61.9,60.6,60,59.9,65
Brazil,BRA,65.8,66.6,69.5,71.7,69.5,66.6,64.1,60.6,65.1
Bulgaria,BGR,64.6,66.4,66.6,66.5,66.5,65.7,67.4,70.5,73
Canada,CAN,73.9,72.7,74.9,73.5,75,76.6,77.2,79.8,79.1
Chile,CHL,68.4,69,69.1,71.2,72.8,73,70.2,73.2,74.2
Colombia,COL,63.2,62.9,66.1,68.5,68.1,67.3,63.1,64.4,60.1
Costa Rica,CRI,70.4,72,71.8,70.3,71.9,72.3,72.3,73.6,77.4
Czech Republic,CZE,77.3,77.6,78.3,77.3,79,78.5,78.6,77.8,77.7
Denmark,DNK,78.4,78.2,77.5,77.7,78.7,77.4,76.6,76.5,77.8
Dominican Republic,DOM,60.8,62,65.8,62.9,65.3,64.4,65.2,65.4,65
Ecuador,ECU,57.5,59.7,60.4,60.9,60.7,59.9,57.9,59.6,65.6
El Salvador,SLV,58.9,61.2,59.6,58.1,60.5,60.6,59,59.5,64.2
Finland,FIN,83.7,83.8,84.4,84.6,84,85.1,85.3,80.9,83.7
France,FRA,79.3,79.6,78.5,79.8,76.8,76.7,76.5,79.1,80.2
Germany,DEU,77.9,78.3,77.7,78.1,78.3,78.1,77,78.7,77
Greece,GRC,74.3,74.8,75.2,75.1,74.9,74.8,73,73.3,72.2
Guatemala,GTM,53.8,53.5,56.9,55.1,57.8,56.5,56.2,53.5,62.8
Haiti,HTI,39.5,37,37.6,37,33.9,33.8,38.5,37.8,38.5
Honduras,HND,56.9,59.5,57.3,56.5,58.9,58.7,58.2,59.4,61.5
Hungary,HUN,69.4,70.6,72.2,71.3,69.6,70,70.1,72.1,71.4
Ireland,IRL,82.1,82.5,82.5,83,84.1,84.1,83.8,84,81.7
Italy,ITA,77.2,76.5,76.8,76.3,76.3,76.4,76.6,76.4,74
Mexico,MEX,63.6,65.9,65.4,65.1,65.7,67.9,66.2,66.9,69.1
Netherlands,NLD,77.9,78.4,79.2,80.2,80.2,79.6,79.9,79.9,80.1
Nicaragua,NIC,53.1,58.2,58.4,55.5,54.8,53.5,54.4,56,56.6
Norway,NOR,78.3,79.2,78.8,80.3,79.3,80.6,76.2,76,80.5
Panama,PAN,66.4,66.9,66.5,69.4,69.3,69.8,68.9,70.9,70
Paraguay,PRY,55.2,57.3,55.3,57.3,60.1,58.2,60.5,61.6,58.6
Peru,PER,59.3,62.2,63.1,64.2,63.1,65.3,65.7,64.6,70.8
Poland,POL,75.5,74.4,73.9,73.4,75.9,74.2,73.5,74.9,75.5
Portugal,PRT,75.2,75.9,76.7,75.5,77.5,76.8,75.7,75.2,78.7
Romania,ROU,67.6,68.7,70.8,70.1,70,71.6,74.2,72.4,68.8
Serbia,SRB,61.6,62,63.1,62.3,61.9,63,63.2,61.4,61.4
Slovakia,SVK,69.8,70.9,72,70.2,70.1,69,69.2,68.7,71.1
Spain,ESP,74.9,73.9,75,73.4,74.4,73.6,73.4,73.6,75.7
Sweden,SWE,78.4,79.2,80.5,81.2,80.9,80.5,78.1,77.9,79.1
Switzerland,CHE,77.6,76.8,77.3,77.8,78.1,77.6,77.7,80.4,78.2
Turkey,TUR,66,66.7,68.4,65.4,62,66,65.3,65.1,65.3
Ukraine,UKR,51.3,51.6,58.3,53.1,55.7,60.3,63,62,57.9
United Kingdom,GBR,78.4,80.1,79.6,78.4,79.2,78.6,78.5,81,78.8
United States,USA,79.1,78.6,78.7,77.9,77.6,77.7,77.5,79.1,78
Uruguay,URY,66.2,66.2,68.3,71.2,72.4,70.5,71.4,68,71.8
Venezuela,VEN,47.7,47,48.9,51.7,44.7,43.3,42.8,39.4,42.6
