Country,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,DZA,54.7,56.9,60,59.1,61.8,62.8,61.8,63.9,58.9
Angola,AGO,39.1,36.1,35.6,38.4,41.1,40.5,42.1,41.1,43.7
Benin,BEN,43.3,41.5,44.5,46.6,45.7,46.1,46.2,45.2,48.1
Botswana,BWA,53.7,54.2,52.8,54.2,55,54.3,55.5,55.5,51.1
Cameroon,CMR,44.7,45.8,47.3,46.3,45.8,44.4,44.7,45.5,46.4
Egypt,EGY,64,62.9,60,60.1,62.9,65.4,61.1,60.8,56
Ethiopia,ETH,38.8,37.3,41.5,38.6,40,37.1,37,37.6,44.5
Ghana,GHA,50.4,51.3,52.1,53.2,54.3,53.4,53,52,52.6
Israel,ISR,74.9,75.1,77.5,75.8,76.7,77.9,78,78,74.8
Jordan,JOR,64.4,64.1,63.8,63.5,61.2,61.3,60.4,64.6,66.2
Kenya,KEN,42.2,41.1,42.2,46.5,48.7,48.5,49,46.8,53
Kuwait,KWT,70.2,66.6,67,68.6,69,69.2,70.7,72.2,65.2
Morocco,MAR,58.7,60.2,60.1,60.3,61.7,61.4,62,62.5,63
Mozambique,MOZ,40.2,34.7,32.6,41.8,42,38.7,40.6,35.9,47.3
Nigeria,NGA,41.5,42.4,41.6,41.8,43.5,42.5,40.1,41.3,42
Oman,OMN,66.4,66.8,68.2,68.9,70.3,69.1,70.2,70,71.2
Qatar,QAT,71.1,70,69.8,69.9,70.3,71.7,69.6,73.6,72.4
Saudi Arabia,SAU,68.4,69.8,68.1,69.2,67.5,70.2,69.5,68.1,69.9
Senegal,SEN,45.6,49.2,46.3,47.3,47,48.1,46.4,47.4,51.2
South Africa,ZAF,60.1,63.7,61,62.7,63.2,59.2,57.8,57.8,61.7
Sudan,SDN,33,37.8,36,37.5,38,36.6,36,37.1,42.8
Tanzania,TZA,40.4,39.9,44.1,45.1,47,45.6,47.1,48,49.1
Togo,TGO,43.5,39.3,42.6,46.1,44,46.5,44.9,44.2,46.2
Tunisia,TUN,59.5,60.4,61.3,59.4,62.2,60.8,61.4,62.7,60.3
United Arab Emirates,ARE,61.8,63.7,63.1,64.7,68.8,70.2,68.3,71,75.2
Zambia,ZMB,39.3,35.2,43.5,43,41.2,38.3,36.6,38,43.5
