Country,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,DZA,54.7,56.9,60,59.1,61.8,62.8,61.8,63.9,58.9
Angola,AGO,39.1,36.1,35.6,38.4,41.1,40.5,42.1,41.1,43.7
Argentina,ARG,62.1,61.3,64,63.3,65.7,65,62.7,64.2,64.8
Azerbaijan,AZE,63,62,56.4,59.9,64.4,63.3,62.3,62.6,59.8
Bangladesh,BGD,48.7,49.1,49.5,51.7,51.9,51.6,50,49.1,54
Belarus,BLR,65.8,68.5,68.3,71.3,72,73.3,73.8,70.9,64.5
Benin,BEN,43.3,41.5,44.5,46.6,45.7,46.1,46.2,45.2,48.1
Bolivia,BOL,57.5,62.1,61,61.4,61.9,60.6,60,59.9,65
Botswana,BWA,53.7,54.2,52.8,54.2,55,54.3,55.5,55.5,51.1
Brazil,BRA,65.8,66.6,69.5,71.7,69.5,66.6,64.1,60.6,65.1
Bulgaria,BGR,64.6,66.4,66.6,66.5,66.5,65.7,67.4,70.5,73
Cambodia,KHM,50,48.7,49.2,52.1,52.6,52.4,51.5,53,55.7
Cameroon,CMR,44.7,45.8,47.3,46.3,45.8,44.4,44.7,45.5,46.4
Chile,CHL,68.4,69,69.1,71.2,72.8,73,70.2,73.2,74.2
China,CHN,69.8,71.5,71.9,73.4,73,69.4,69.3,71.3,74.2
Colombia,COL,63.2,62.9,66.1,68.5,68.1,67.3,63.1,64.4,60.1
Costa Rica,CRI,70.4,72,71.8,70.3,71.9,72.3,72.3,73.6,77.4
Dominican Republic,DOM,60.8,62,65.8,62.9,65.3,64.4,65.2,65.4,65
Ecuador,ECU,57.5,59.7,60.4,60.9,60.7,59.9,57.9,59.6,65.6
Egypt,EGY,64,62.9,60,60.1,62.9,65.4,61.1,60.8,56
El Salvador,SLV,58.9,61.2,59.6,58.1,60.5,60.6,59,59.5,64.2
Ethiopia,ETH,38.8,37.3,41.5,38.6,40,37.1,37,37.6,44.5
Ghana,GHA,50.4,51.3,52.1,53.2,54.3,53.4,53,52,52.6
Greece,GRC,74.3,74.8,75.2,75.1,74.9,74.8,73,73.3,72.2
Guatemala,GTM,53.8,53.5,56.9,55.1,57.8,56.5,56.2,53.5,62.8
Haiti,HTI,39.5,37,37.6,37,33.9,33.8,38.5,37.8,38.5
Honduras,HND,56.9,59.5,57.3,56.5,58.9,58.7,58.2,59.4,61.5
Hungary,HUN,69.4,70.6,72.2,71.3,69.6,70,70.1,72.1,71.4
India,IND,56.1,56.3,58.3,57.9,59.3,55.1,56.2,57.2,58.9
Indonesia,IDN,55.1,58.6,58.8,61.6,60.6,60.9,59.5,59.2,60.2
Jordan,JOR,64.4,64.1,63.8,63.5,61.2,61.3,60.4,64.6,66.2
Kazakhstan,KAZ,63.4,63.3,65,66.2,67,68.1,70.8,69.2,72.1
Kenya,KEN,42.2,41.1,42.2,46.5,48.7,48.5,49,46.8,53
Kuwait,KWT,70.2,66.6,67,68.6,69,69.2,70.7,72.2,65.2
Malaysia,MYS,69.7,68.1,67.5,67,68.1,67.7,67.9,70.1,69.9
Mexico,MEX,63.6,65.9,65.4,65.1,65.7,67.9,66.2,66.9,69.1
Morocco,MAR,58.7,60.2,60.1,60.3,61.7,61.4,62,62.5,63
Mozambique,MOZ,40.2,34.7,32.6,41.8,42,38.7,40.6,35.9,47.3
Myanmar,MMR,49.1,47.9,53.4,54.9,54.7,56.3,56.6,56.7,57.6
Nepal,NPL,49.2,46.1,52.2,52.6,53.5,51.2,53,53.7,56.9
Nicaragua,NIC,53.1,58.2,58.4,55.5,54.8,53.5,54.4,56,56.6
Nigeria,NGA,41.5,42.4,41.6,41.8,43.5,42.5,40.1,41.3,42
Oman,OMN,66.4,66.8,68.2,68.9,70.3,69.1,70.2,70,71.2
Pakistan,PAK,51.6,51.6,52.4,51.4,56.1,49.7,52.3,54.7,52.2
Panama,PAN,66.4,66.9,66.5,69.4,69.3,69.8,68.9,70.9,70
Paraguay,PRY,55.2,57.3,55.3,57.3,60.1,58.2,60.5,61.6,58.6
