Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,ARG,42669500,43131966,43590368,44044811,44494502,44938712,45195774,45312281,45407904
Austria,AUT,8546356,8642699,8736668,8797566,8840521,8879920,9006398,8955797,9041851
Belgium,BEL,11209057,11274196,11331422,11375158,11427054,11502704,11589623,11586195,11680210
Bolivia,BOL,10706517,10869730,11031813,11192854,11353142,11513100,11673021,11937360,12077154
Brazil,BRA,202763735,204471769,206163058,207833831,209469333,211049527,212559417,209550294,210306415
Bulgaria,BGR,7223938,7177991,7127822,7075947,7025037,6975761,6948445,6507301,6465097
Canada,CAN,35437435,35702908,36109487,36545295,37065178,37593384,37742154,38239864,38935934
Chile,CHL,17758959,17969353,18209068,18470439,18729160,18952038,19116201,19456334,19553036
Colombia,COL,46967706,47520667,48175048,48909844,49661056,50339443,50882891,51188173,51737944
Costa Rica,CRI,4795396,4847804,4899345,4949954,4999441,5047561,5094118,5059988,5081765
Czech Republic,CZE,10525347,10546059,10566332,10594438,10629928,10671870,10708981,10505772,10672118
Denmark,DNK,5643475,5683483,5728010,5764980,5793636,5814422,5792202,5856733,5903037
Dominican Republic,DOM,10165178,10281680,10397743,10513131,10627165,10738958,10847910,11123476,11230734
Ecuador,ECU,15951838,16212020,16491115,16785361,17084357,17373662,17643054,17682454,17823897
El Salvador,SLV,6295128,6325124,6356143,6388122,6420744,6453553,6486205,6255782,6280319
Finland,FIN,5461512,5479531,5495303,5508214,5515525,5521606,5540720,5541017,5556106
France,FRA,66312067,66548272,66724104,66864379,66965912,67055854,65273511,67842811,68184457
Germany,DEU,80982500,81686611,82348669,82657002,82905782,83092962,83783942,83196078,83177813
Greece,GRC,10892413,10820883,10775971,10754679,10732882,10717169,10423054,10569207,10436882
Guatemala,GTM,15306316,15567419,15827690,16087418,16346950,16604026,17915568,17598650,17847877
Haiti,HTI,10549008,10695542,10839970,10982366,11123176,11263077,11402528,11374586,11503606
Honduras,HND,8955589,9112916,9270795,9429013,9587522,9746117,9904607,10289877,10463872
Hungary,HUN,9866468,9843028,9814023,9787966,9775564,9771141,9660351,9630932,9605074
Ireland,IRL,4657740,4701957,4755335,4807388,4867316,4934040,4937786,5110585,5212836
Italy,ITA,60789140,60730582,60627498,60536709,60421760,60302093,60461826,59133173,59013667
Mexico,MEX,120355128,121858258,123333376,124777324,126190788,127575529,128932753,127648148,128613117
Netherlands,NLD,16865008,16939923,17030314,17131296,17231624,17344874,17134872,17533044,17700982
Nicaragua,NIC,6142733,6223240,6303974,6384855,6465513,6545502,6624554,6644741,6730654
Norway,NOR,5137232,5188607,5234519,5276968,5311916,5347896,5421241,5408320,5457127
Panama,PAN,3901315,3968487,4037078,4106771,4176873,4246439,4314767,4345405,4400773
Paraguay,PRY,6599526,6688746,6777872,6867062,6956071,7044636,7132538,6684182,6760464
Peru,PER,30090359,30470734,30926032,31444297,31989256,32510453,32971854,33155882,33475438
Poland,POL,38011735,37986412,37970087,37974826,37974750,37965475,37846611,36981559,36821749
Portugal,PRT,10401062,10358076,10325452,10300300,10283822,10286263,10196709,10361831,10434332
Romania,ROU,19908979,19815616,19702267,19587290,19472545,19366221,19237691,19122059,19048502
Serbia,SRB,7130576,7095383,7058322,7020858,6982604,6945235,8737371,6834326,6664449
Slovakia,SVK,5418649,5423801,5430798,5439232,5446771,5454147,5459642,5447247,5431752
Spain,ESP,46480882,46444832,46484062,46593236,46797754,47133521,46754778,47443821,47786102
Sweden,SWE,9696110,9799186,9923085,10057698,10175214,10278887,10099265,10415811,10486941
Switzerland,CHE,8188649,8282396,8373338,8451840,8514329,8575280,8654622,8704546,8777088
Turkey,TUR,77231907,78529409,79821724,81101892,82319724,83429615,84339067,84147318,84979913
Ukraine,UKR,45272155,45154036,45004673,44831135,44622518,44386203,43733762,44298640,41048766
United Kingdom,GBR,64602298,65116219,65611593,66058859,66460344,66836327,67886011,66984000,67604000
United States,USA,318301008,320635163,322941311,324985539,326687501,328239523,331002651,332099760,334017321
Uruguay,URY,3400434,3412009,3424132,3436646,3449299,3461734,3473730,3396695,3390913
Venezuela,VEN,30045134,30081829,29846179,29390409,28870195,28515829,28435940,28237826,28213017
