Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,DZA,38923687,39728025,40551404,41389198,42228429,43053054,43851044,44761099,45477389
Angola,AGO,26941779,27884381,28842484,29816748,30809762,31825295,32866272,34532429,35635029
Benin,BEN,10286842,10575952,10872067,11175204,11485048,11801151,12123200,13413417,13759501
Botswana,BWA,2088614,2120716,2159944,2205128,2254126,2303697,2351627,2401441,2439892
Cameroon,CMR,22681858,23298368,23926539,24566045,25216237,25876380,26545863,26915758,27632771
Egypt,EGY,90424654,92442547,94447072,96442593,98423595,100388073,102334404,110957008,112618250
Ethiopia,ETH,98094253,100835458,103603501,106400024,109224559,112078730,114963588,122138588,125384287
Ghana,GHA,27224472,27849205,28481946,29121471,29767108,30417856,31072940,32518665,33149152
Israel,ISR,8215700,8380100,8546000,8713300,8882800,9054000,8655535,9371400,9557500
Jordan,JOR,8920049,9266575,9551467,9779173,9956011,10101694,10203134,11066356,11256263
Kenya,KEN,46699981,47878336,49051686,50221473,51393010,52573973,53771296,53219166,54252461
Kuwait,KWT,3690941,3835591,3956875,4056099,4137312,4207083,4270571,4360865,4589643
Morocco,MAR,34192347,34663603,35126296,35581294,36029138,36471769,36910560,36954442,37329064
Mozambique,MOZ,26286163,27042002,27829942,28649007,29495962,30366036,31255435,31707800,32656246
Nigeria,NGA,176404902,181137448,185960289,190873311,195874740,200963599,206139589,218529286,223150896
Oman,OMN,4027260,4267348,4479219,4665935,4829483,4974986,5106626,4500424,4730226
Qatar,QAT,2459198,2565710,2654374,2724724,2781677,2832067,2881053,2504910,2657333
Saudi Arabia,SAU,30916994,31717667,32442572,33099147,33699947,34268528,34813871,30784383,32175224
Senegal,SEN,14174731,14578459,14993528,15419381,15854360,16296364,16743927,17220867,17651103
South Africa,ZAF,54544184,55386369,56207649,57009751,57792520,58558267,59308690,61502603,62378410
Sudan,SDN,37977655,38902950,39847440,40813396,41801533,42813238,43849260,48066924,49383346
Tanzania,TZA,49959822,51482633,53050790,54663906,56318348,58005463,59734218,62830412,64711821
Togo,TGO,7137997,7323158,7509952,7698475,7889094,8082366,8278724,8878379,9089738
Tunisia,TUN,11063201,11179949,11303946,11433443,11565204,11694719,11818619,12048622,12119334
United Arab Emirates,ARE,9214175,9262900,9360980,9487203,9630959,9770529,9890402,9575152,10074977
Zambia,ZMB,15399753,15879361,16363507,16853688,17351822,17861030,18383955,19603607,20152938
