Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,23475686,23815995,24190907,24601860,24982688,25365745,25499884,25685412,26018721
Austria,AUT,8546356,8642699,8736668,8797566,8840521,8879920,9006398,8955797,9041851
Belgium,BEL,11209057,11274196,11331422,11375158,11427054,11502704,11589623,11586195,11680210
Canada,CAN,35437435,35702908,36109487,36545295,37065178,37593384,37742154,38239864,38935934
Czech Republic,CZE,10525347,10546059,10566332,10594438,10629928,10671870,10708981,10505772,10672118
Denmark,DNK,5643475,5683483,5728010,5764980,5793636,5814422,5792202,5856733,5903037
Finland,FIN,5461512,5479531,5495303,5508214,5515525,5521606,5540720,5541017,5556106
France,FRA,66312067,66548272,66724104,66864379,66965912,67055854,65273511,67842811,68184457
Germany,DEU,80982500,81686611,82348669,82657002,82905782,83092962,83783942,83196078,83177813
Ireland,IRL,4657740,4701957,4755335,4807388,4867316,4934040,4937786,5110585,5212836
Israel,ISR,8215700,8380100,8546000,8713300,8882800,9054000,8655535,9371400,9557500
Italy,ITA,60789140,60730582,60627498,60536709,60421760,60302093,60461826,59133173,59013667
Japan,JPN,127276000,127141000,126994511,126785797,126529100,126264931,126476461,125681593,125124989
Netherlands,NLD,16865008,16939923,17030314,17131296,17231624,17344874,17134872,17533044,17700982
New Zealand,NZL,4516500,4609400,4714100,4813600,4900600,4979300,4822233,5084600,5081700
Norway,NOR,5137232,5188607,5234519,5276968,5311916,5347896,5421241,5408320,5457127
Singapore,SGP,5469724,5535002,5607283,5612253,5638676,5703569,5850342,5453566,5637022
Slovakia,SVK,5418649,5423801,5430798,5439232,5446771,5454147,5459642,5447247,5431752
Spain,ESP,46480882,46444832,46484062,46593236,46797754,47133521,46754778,47443821,47786102
Sweden,SWE,9696110,9799186,9923085,10057698,10175214,10278887,10099265,10415811,10486941
Switzerland,CHE,8188649,8282396,8373338,8451840,8514329,8575280,8654622,8704546,8777088
United Kingdom,GBR,64602298,65116219,65611593,66058859,66460344,66836327,67886011,66984000,67604000
United States,USA,318301008,320635163,322941311,324985539,326687501,328239523,331002651,332099760,334017321
