Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,DZA,38923687,39728025,40551404,41389198,42228429,43053054,43851044,44761099,45477389
Angola,AGO,26941779,27884381,28842484,29816748,30809762,31825295,32866272,34532429,35635029
Argentina,ARG,42669500,43131966,43590368,44044811,44494502,44938712,45195774,45312281,45407904
Azerbaijan,AZE,9535079,9649341,9757812,9854033,9939771,10024283,10139177,10137750,10141756
Bangladesh,BGD,154520167,156256276,157970840,159670593,161356039,163046161,164689383,167658854,169384897
Belarus,BLR,9474511,9489616,9501534,9498264,9483499,9417849,9449323,9302585,9228071
Benin,BEN,10286842,10575952,10872067,11175204,11485048,11801151,12123200,13413417,13759501
Bolivia,BOL,10706517,10869730,11031813,11192854,11353142,11513100,11673021,11937360,12077154
Botswana,BWA,2088614,2120716,2159944,2205128,2254126,2303697,2351627,2401441,2439892
Brazil,BRA,202763735,204471769,206163058,207833831,209469333,211049527,212559417,209550294,210306415
Bulgaria,BGR,7223938,7177991,7127822,7075947,7025037,6975761,6948445,6507301,6465097
Cambodia,KHM,15274503,15521436,15766293,16009414,16249798,16486542,16718965,16974305,17201724
Cameroon,CMR,22681858,23298368,23926539,24566045,25216237,25876380,26545863,26915758,27632771
Chile,CHL,17758959,17969353,18209068,18470439,18729160,18952038,19116201,19456334,19553036
China,CHN,1364270000,1371220000,1378665000,1386395000,1392730000,1397715000,1439323776,1412360000,1412175000
Colombia,COL,46967706,47520667,48175048,48909844,49661056,50339443,50882891,51188173,51737944
Costa Rica,CRI,4795396,4847804,4899345,4949954,4999441,5047561,5094118,5059988,5081765
Dominican Republic,DOM,10165178,10281680,10397743,10513131,10627165,10738958,10847910,11123476,11230734
Ecuador,ECU,15951838,16212020,16491115,16785361,17084357,17373662,17643054,17682454,17823897
Egypt,EGY,90424654,92442547,94447072,96442593,98423595,100388073,102334404,110957008,112618250
El Salvador,SLV,6295128,6325124,6356143,6388122,6420744,6453553,6486205,6255782,6280319
Ethiopia,ETH,98094253,100835458,103603501,106400024,109224559,112078730,114963588,122138588,125384287
Ghana,GHA,27224472,27849205,28481946,29121471,29767108,30417856,31072940,32518665,33149152
Greece,GRC,10892413,10820883,10775971,10754679,10732882,10717169,10423054,10569207,10436882
Guatemala,GTM,15306316,15567419,15827690,16087418,16346950,16604026,17915568,17598650,17847877
Haiti,HTI,10549008,10695542,10839970,10982366,11123176,11263077,11402528,11374586,11503606
Honduras,HND,8955589,9112916,9270795,9429013,9587522,9746117,9904607,10289877,10463872
Hungary,HUN,9866468,9843028,9814023,9787966,9775564,9771141,9660351,9630932,9605074
India,IND,1295604184,1310152403,1324509589,1338658835,1352617328,1366417754,1380004385,1414203896,1425423212
Indonesia,IDN,255129004,258383256,261554226,264645886,267663435,270625568,273523615,276758053,278830529
Jordan,JOR,8920049,9266575,9551467,9779173,9956011,10101694,10203134,11066356,11256263
Kazakhstan,KAZ,17288285,17542806,17794055,18037776,18276452,18513673,18776707,19743603,20034609
Kenya,KEN,46699981,47878336,49051686,50221473,51393010,52573973,53771296,53219166,54252461
Kuwait,KWT,3690941,3835591,3956875,4056099,4137312,4207083,4270571,4360865,4589643
Malaysia,MYS,29866559,30270962,30684804,31105028,31528585,31949777,32365999,34282399,34695493
Mexico,MEX,120355128,121858258,123333376,124777324,126190788,127575529,128932753,127648148,128613117
Morocco,MAR,34192347,34663603,35126296,35581294,36029138,36471769,36910560,36954442,37329064
Mozambique,MOZ,26286163,27042002,27829942,28649007,29495962,30366036,31255435,31707800,32656246
Myanmar,MMR,52280807,52680726,53045226,53382581,53708395,54045420,54409800,53387102,53756787
Nepal,NPL,26906926,27015031,27261131,27627124,28087871,28608710,29136808,29475010,29715436
Nicaragua,NIC,6142733,6223240,6303974,6384855,6465513,6545502,6624554,6644741,6730654
Nigeria,NGA,176404902,181137448,185960289,190873311,195874740,200963599,206139589,218529286,223150896
Oman,OMN,4027260,4267348,4479219,4665935,4829483,4974986,5106626,4500424,4730226
Pakistan,PAK,195306825,199426964,203627284,207896686,212215030,216565318,220892340,239477801,243700667
Panama,PAN,3901315,3968487,4037078,4106771,4176873,4246439,4314767,4345405,4400773
Paraguay,PRY,6599526,6688746,6777872,6867062,6956071,7044636,7132538,6684182,6760464
Peru,PER,30090359,30470734,30926032,31444297,31989256,32510453,32971854,33155882,33475438
Philippines,PHL,100513138,102113212,103663927,105173264,106651922,108116615,109581078,113100950,113964338
Poland,POL,38011735,37986412,37970087,37974826,37974750,37965475,37846611,36981559,36821749
Portugal,PRT,10401062,10358076,10325452,10300300,10283822,10286263,10196709,10361831,10434332
Qatar,QAT,2459198,2565710,2654374,2724724,2781677,2832067,2881053,2504910,2657333
Romania,ROU,19908979,19815616,19702267,19587290,19472545,19366221,19237691,19122059,19048502
Russia,RUS,143819667,144096870,144342397,144496739,144477859,144406261,145934462,144746762,144236933
Saudi Arabia,SAU,30916994,31717667,32442572,33099147,33699947,34268528,34813871,30784383,32175224
Senegal,SEN,14174731,14578459,14993528,15419381,15854360,16296364,16743927,17220867,17651103
Serbia,SRB,7130576,7095383,7058322,7020858,6982604,6945235,8737371,6834326,6664449
South Africa,ZAF,54544184,55386369,56207649,57009751,57792520,58558267,59308690,61502603,62378410
Sri Lanka,LKA,20778000,20970000,21203000,21444000,21670000,21803000,21413249,22156000,22181000
Sudan,SDN,37977655,38902950,39847440,40813396,41801533,42813238,43849260,48066924,49383346
Tajikistan,TJK,8252833,8454028,8663579,8880268,9100837,9321018,9537645,9966908,10182222
Tanzania,TZA,49959822,51482633,53050790,54663906,56318348,58005463,59734218,62830412,64711821
Thailand,THA,68438730,68714511,68971331,69209858,69428524,69625582,69799978,71727332,71735329
Togo,TGO,7137997,7323158,7509952,7698475,7889094,8082366,8278724,8878379,9089738
Tunisia,TUN,11063201,11179949,11303946,11433443,11565204,11694719,11818619,12048622,12119334
Turkey,TUR,77231907,78529409,79821724,81101892,82319724,83429615,84339067,84147318,84979913
Ukraine,UKR,45272155,45154036,45004673,44831135,44622518,44386203,43733762,44298640,41048766
United Arab Emirates,ARE,9214175,9262900,9360980,9487203,9630959,9770529,9890402,9575152,10074977
Uruguay,URY,3400434,3412009,3424132,3436646,3449299,3461734,3473730,3396695,3390913
Uzbekistan,UZB,30757700,31298900,31847900,32388600,32956100,33580350,33469203,34243696,34938955
Venezuela,VEN,30045134,30081829,29846179,29390409,28870195,28515829,28435940,28237826,28213017
Vietnam,VNM,91714595,92677076,93638724,94596642,95540395,96462106,97338579,98935098,99680655
Zambia,ZMB,15399753,15879361,16363507,16853688,17351822,17861030,18383955,19603607,20152938
